t,true_x,true_y,true_theta,dr_x,dr_y,dr_theta,ekf_x,ekf_y,ekf_theta,ekf_var_x,ekf_var_y,ekf_var_theta,enc_v,enc_omega,imu_yaw,n_lidar_clusters,min_obstacle_range
3.1500,5.71961,4.29321,0.51007,5.71699,4.29575,0.50816,5.71679,4.29572,0.50892,3.048106e-03,2.873035e-03,9.874193e-05,1.15400,-0.01867,0.51103,3,4.23588
3.2000,5.76936,4.32104,0.51033,5.76749,4.32387,0.50622,5.76690,4.32458,0.50761,3.056887e-03,2.881452e-03,9.868625e-05,1.15600,-0.03872,0.52277,4,4.26360
3.2500,5.81909,4.34888,0.51056,5.81736,4.35152,0.50728,5.81638,4.35299,0.50928,3.065631e-03,2.889721e-03,9.863487e-05,1.14050,0.02116,0.52414,3,4.32820
3.3000,5.86882,4.37674,0.51079,5.86760,4.37944,0.50176,5.86657,4.38101,0.50375,3.074400e-03,2.898084e-03,9.858747e-05,1.14950,-0.11038,0.50362,3,4.33675
3.3500,5.91855,4.40460,0.51099,5.91731,4.40672,0.49992,5.91592,4.40894,0.50242,3.083139e-03,2.906292e-03,9.854373e-05,1.13400,-0.03677,0.51463,3,4.39060
3.4000,5.96827,4.43248,0.51118,5.96714,4.43393,0.50453,5.96574,4.43617,0.50693,3.091886e-03,2.914515e-03,9.850336e-05,1.13550,0.09221,0.50447,3,4.41353
3.4500,6.01798,4.46036,0.51135,6.01795,4.46199,0.50634,6.01631,4.46469,0.50904,3.100701e-03,2.922999e-03,9.846612e-05,1.16100,0.03622,0.51637,3,4.43161
3.5000,6.06769,4.48825,0.51151,6.06704,4.48921,0.50237,6.06503,4.49259,0.50555,3.109404e-03,2.931110e-03,9.843175e-05,1.12250,-0.07938,0.51723,3,4.45491
3.5500,6.11739,4.51615,0.51165,6.11726,4.51680,0.50152,6.11521,4.52026,0.50462,3.118183e-03,2.939451e-03,9.840004e-05,1.14600,-0.01715,0.50280,3,4.49846
3.6000,6.16709,4.54406,0.51179,6.16779,4.54451,0.50214,6.16554,4.54833,0.50543,3.126984e-03,2.947857e-03,9.837077e-05,1.15250,0.01254,0.50992,4,4.50903
3.6500,6.21679,4.57198,0.51191,6.21742,4.57176,0.50514,6.21516,4.57561,0.50831,3.135728e-03,2.956069e-03,9.834376e-05,1.13250,0.06002,0.50532,3,4.54458
3.7000,6.26648,4.59990,0.51203,6.26640,4.59885,0.50297,6.26399,4.60298,0.50624,3.144431e-03,2.964158e-03,9.831883e-05,1.11950,-0.04345,0.50898,3,4.57218
3.7500,6.31617,4.62783,0.51213,6.31639,4.62635,0.50454,6.31407,4.63029,0.50751,3.153201e-03,2.972459e-03,9.829583e-05,1.14100,0.03133,0.50006,4,4.59901
3.8000,6.36586,4.65576,0.51223,6.36664,4.65409,0.50245,6.36443,4.65782,0.50510,3.161992e-03,2.980833e-03,9.827459e-05,1.14800,-0.04171,0.49735,3,4.64720
3.8500,6.41554,4.68369,0.51232,6.41675,4.68163,0.50443,6.41441,4.68560,0.50718,3.170775e-03,2.989162e-03,9.825500e-05,1.14350,0.03965,0.50953,3,4.66362
3.9000,6.46523,4.71164,0.51240,6.46719,4.70948,0.51143,6.46511,4.71297,0.51365,3.179583e-03,2.997586e-03,9.823691e-05,1.15250,0.13994,0.50076,3,4.67525
3.9500,6.51491,4.73958,0.51248,6.51579,4.73675,0.51241,6.51344,4.74073,0.51496,3.188267e-03,3.005639e-03,9.822022e-05,1.11450,0.01967,0.52296,4,4.71668
4.0000,6.56458,4.76753,0.51255,6.56588,4.76493,0.51480,6.56308,4.76975,0.51796,3.197057e-03,3.014045e-03,9.820481e-05,1.14950,0.04766,0.53287,3,4.74903
4.0500,6.61426,4.79548,0.51261,6.61536,4.79292,0.51473,6.61253,4.79778,0.51779,3.205806e-03,3.022331e-03,9.819059e-05,1.13700,-0.00128,0.51538,3,4.78263
4.1000,6.66393,4.82344,0.51267,6.66519,4.82111,0.51449,6.66245,4.82581,0.51729,3.214582e-03,3.030698e-03,9.817747e-05,1.14500,-0.00479,0.51075,3,4.78027
