t,true_x,true_y,true_theta,dr_x,dr_y,dr_theta,ekf_x,ekf_y,ekf_theta,ekf_var_x,ekf_var_y,ekf_var_theta,enc_v,enc_omega,imu_yaw,n_lidar_clusters,min_obstacle_range
3.6500,6.27780,4.44823,0.46748,6.27839,4.44807,0.46044,6.27631,4.45199,0.46372,3.140294e-03,2.951966e-03,9.834376e-05,1.13250,0.06002,0.46089,4,4.41826
3.7000,6.32868,4.47392,0.46758,6.32851,4.47293,0.45817,6.32628,4.47716,0.46157,3.149041e-03,2.960003e-03,9.831883e-05,1.11900,-0.04545,0.46454,5,4.46007
3.7500,6.37957,4.49961,0.46768,6.37967,4.49816,0.45974,6.37753,4.50222,0.46284,3.157848e-03,2.968269e-03,9.829583e-05,1.14100,0.03133,0.45561,5,4.47092
3.8000,6.43045,4.52531,0.46777,6.43111,4.52363,0.45765,6.42906,4.52748,0.46045,3.166672e-03,2.976611e-03,9.827459e-05,1.14800,-0.04171,0.45289,5,4.50932
3.8500,6.48132,4.55101,0.46785,6.48241,4.54889,0.45963,6.48023,4.55301,0.46253,3.175489e-03,2.984906e-03,9.825500e-05,1.14350,0.03965,0.46506,4,4.52377
3.9000,6.53220,4.57671,0.46792,6.53405,4.57446,0.46663,6.53210,4.57810,0.46901,3.184327e-03,2.993300e-03,9.823691e-05,1.15250,0.13994,0.45628,4,4.53066
3.9500,6.58307,4.60242,0.46799,6.58382,4.59953,0.46761,6.58161,4.60369,0.47032,3.193060e-03,3.001306e-03,9.822022e-05,1.11450,0.01967,0.47848,4,4.57856
4.0000,6.63394,4.62813,0.46805,6.63512,4.62543,0.47000,6.63249,4.63047,0.47332,3.201883e-03,3.009681e-03,9.820481e-05,1.14950,0.04766,0.48837,4,4.58979
4.0500,6.68481,4.65385,0.46811,6.68581,4.65118,0.46993,6.68314,4.65627,0.47316,3.210669e-03,3.017930e-03,9.819059e-05,1.13700,-0.00128,0.47088,4,4.64416
4.1000,6.73568,4.67957,0.46816,6.73685,4.67711,0.46969,6.73426,4.68205,0.47266,3.219478e-03,3.026264e-03,9.817747e-05,1.14500,-0.00479,0.46625,6,4.62761
4.1500,6.78655,4.70529,0.46821,6.78706,4.70259,0.46862,6.78480,4.70683,0.47089,3.228240e-03,3.034399e-03,9.816535e-05,1.12600,-0.02147,0.45367,4,4.67080
4.2000,6.83741,4.73101,0.46826,6.83700,4.72787,0.46988,6.83483,4.73192,0.47190,3.236988e-03,3.042463e-03,9.815417e-05,1.11950,0.02526,0.46573,6,4.70874
4.2500,6.88828,4.75674,0.46830,6.88757,4.75355,0.46752,6.88533,4.75775,0.46957,3.245774e-03,3.050688e-03,9.814385e-05,1.13450,-0.04722,0.47041,4,4.73929
4.3000,6.93914,4.78247,0.46834,6.93790,4.77896,0.47076,6.93581,4.78284,0.47247,3.254547e-03,3.058836e-03,9.813432e-05,1.12750,0.06482,0.46403,4,4.75274
4.3500,6.99000,4.80820,0.46837,6.98937,4.80515,0.46810,6.98743,4.80873,0.46947,3.263388e-03,3.067279e-03,9.812553e-05,1.15500,-0.05332,0.46144,5,4.78085
4.4000,7.04086,4.83393,0.46841,7.03952,4.83051,0.46864,7.03764,4.83396,0.46985,3.272153e-03,3.075393e-03,9.811741e-05,1.12400,0.01080,0.46598,4,4.82479
4.4500,7.09172,4.85966,0.46844,7.08968,4.85591,0.47388,7.08800,4.85895,0.47470,3.280919e-03,3.083512e-03,9.810992e-05,1.12450,0.10477,0.46519,5,4.79575
4.5000,7.14258,4.88540,0.46846,7.14069,4.88206,0.47842,7.13891,4.88531,0.47938,3.289738e-03,3.091870e-03,9.810300e-05,1.14650,0.09096,0.48262,4,4.85988
4.5500,7.19344,4.91113,0.46849,7.19136,4.90834,0.47545,7.18950,4.91174,0.47649,3.298538e-03,3.100182e-03,9.809662e-05,1.14150,-0.05957,0.47864,4,4.90138
4.6000,7.24430,4.93687,0.46851,7.24088,4.93384,0.47890,7.23910,4.93707,0.47976,3.307268e-03,3.108200e-03,9.809073e-05,1.11400,0.06900,0.47536,5,4.92101
4.6500,7.29516,4.96261,0.46854,7.29098,4.95985,0.48057,7.28922,4.96305,0.48137,3.316035e-03,3.116380e-03,9.808529e-05,1.12900,0.03347,0.47979,5,4.93367
4.7000,7.34601,4.98835,0.46856,7.34210,4.98650,0.47983,7.34110,4.98816,0.47933,3.324865e-03,3.124817e-03,9.808027e-05,1.15300,-0.01474,0.44737,4,4.94948
4.7500,7.39687,5.01409,0.46857,7.39317,5.01308,0.47751,7.39223,5.01463,0.47695,3.333696e-03,3.133236e-03,9.807563e-05,1.15150,-0.04638,0.47536,4,4.98082
4.8000,7.44773,5.03983,0.46859,7.44238,5.03854,0.47679,7.44198,5.03899,0.47534,3.342412e-03,3.141192e-03,9.807135e-05,1.10800,-0.01446,0.45368,4,4.99589
4.8500,7.49858,5.06558,0.46861,7.49118,5.06375,0.47736,7.49125,5.06325,0.47519,3.351104e-03,3.149045e-03,9.806740e-05,1.09850,0.01142,0.45764,4,5.00249
4.9000,7.54944,5.09132,0.46862,7.54096,5.08950,0.48177,7.54145,5.08819,0.47902,3.359858e-03,3.157137e-03,9.806376e-05,1.12100,0.08820,0.46478,4,5.07707
4.9500,7.60029,5.11706,0.46863,7.59276,5.11658,0.48242,7.59341,5.11494,0.47951,3.368739e-03,3.165742e-03,9.806039e-05,1.16900,0.01304,0.47561,5,5.08549
5.0000,7.65115,5.14281,0.46865,7.64323,5.14301,0.48127,7.64468,5.13980,0.47720,3.377540e-03,3.174035e-03,9.805729e-05,1.13950,-0.02297,0.44859,4,5.13336
5.0500,7.70200,5.16855,0.46866,7.69282,5.16891,0.48207,7.69479,5.16468,0.47732,3.386287e-03,3.182109e-03,9.805442e-05,1.11900,0.01592,0.46086,4,5.14656
5.1000,7.75286,5.19430,0.46867,7.74284,5.19508,0.48363,7.74521,5.19005,0.47842,3.395062e-03,3.190290e-03,9.805177e-05,1.12900,0.03120,0.46720,4,5.19426
5.1500,7.80371,5.22005,0.46868,7.79348,5.22168,0.47996,7.79639,5.21558,0.47410,3.403877e-03,3.198631e-03,9.804933e-05,1.14400,-0.07335,0.45797,4,5.19828
5.2000,7.85456,5.24579,0.46869,7.84393,5.24794,0.47663,7.84742,5.24071,0.47008,3.412681e-03,3.206899e-03,9.804708e-05,1.13750,-0.06657,0.45322,4,5.20784
5.2500,7.90542,5.27154,0.46869,7.89507,5.27435,0.47514,7.89858,5.26706,0.46881,3.421526e-03,3.215307e-03,9.804499e-05,1.15100,-0.02998,0.47447,4,5.23198
5.3000,7.95627,5.29729,0.46870,7.94615,5.30063,0.47097,7.95005,5.29258,0.46428,3.430368e-03,3.223694e-03,9.804307e-05,1.14900,-0.08339,0.45546,3,5.26972
5.3500,8.00712,5.32304,0.46871,7.99733,5.32668,0.47396,8.00148,5.31814,0.46716,3.439213e-03,3.232071e-03,9.804130e-05,1.14850,0.05995,0.46407,3,5.30201
5.4000,8.05797,5.34879,0.46872,8.04853,5.35295,0.47342,8.05269,5.34439,0.46688,3.448062e-03,3.240479e-03,9.803966e-05,1.15100,-0.01096,0.47354,3,5.31859
