t,true_x,true_y,true_theta,dr_x,dr_y,dr_theta,ekf_x,ekf_y,ekf_theta,ekf_var_x,ekf_var_y,ekf_var_theta,enc_v,enc_omega,imu_yaw,n_lidar_clusters,min_obstacle_range
2.6000,5.17173,3.98834,0.50523,5.15040,3.99721,0.48457,5.14658,4.00370,0.49260,5.208190e-03,3.734570e-03,4.871766e-04,1.01900,0.00196,0.55786,11,3.79660
2.6500,5.22161,4.01593,0.50587,5.20037,4.02352,0.48671,5.19627,4.03055,0.49490,5.258742e-03,3.771241e-03,4.872222e-04,1.12950,0.04268,0.49798,8,3.66202
2.7000,5.27147,4.04355,0.50646,5.25053,4.05006,0.49595,5.24518,4.05947,0.50644,5.309313e-03,3.808221e-03,4.872635e-04,1.13500,0.18476,0.55152,11,3.89155
2.7500,5.32131,4.07120,0.50700,5.30165,4.07772,0.46937,5.29561,4.08843,0.48074,5.359905e-03,3.846543e-03,4.873009e-04,1.16250,-0.53152,0.49788,12,3.75930
2.8000,5.37114,4.09887,0.50751,5.35492,4.10474,0.47941,5.34782,4.11746,0.49240,5.411476e-03,3.885523e-03,4.873347e-04,1.19450,0.20080,0.52403,12,3.88169
2.8500,5.42096,4.12658,0.50797,5.40500,4.13078,0.48493,5.39549,4.14808,0.50242,5.462105e-03,3.922375e-03,4.873653e-04,1.12900,0.11039,0.59027,7,4.00837
2.9000,5.47076,4.15430,0.50839,5.45495,4.15709,0.49127,5.44495,4.17530,0.50880,5.512499e-03,3.959502e-03,4.873929e-04,1.12900,0.12690,0.50945,14,3.91421
2.9500,5.52055,4.18205,0.50878,5.50752,4.18522,0.49501,5.49856,4.20144,0.50927,5.563456e-03,3.999208e-03,4.874180e-04,1.19250,0.07474,0.44538,10,3.94524
3.0000,5.57033,4.20981,0.50914,5.55779,4.21235,0.49505,5.54845,4.22926,0.50927,5.613868e-03,4.037078e-03,4.874407e-04,1.14250,0.00073,0.50865,10,4.00993
3.0500,5.62010,4.23759,0.50948,5.60977,4.24042,0.50509,5.60160,4.25510,0.51600,5.664739e-03,4.076465e-03,4.874612e-04,1.18150,0.20076,0.45152,11,3.99214
3.1000,5.66986,4.26539,0.50978,5.65961,4.26798,0.50115,5.65215,4.28130,0.50996,5.714980e-03,4.114420e-03,4.874797e-04,1.13900,-0.07869,0.46873,12,3.95241
3.1500,5.71961,4.29321,0.51007,5.71203,4.29669,0.49678,5.70410,4.31089,0.50604,5.766038e-03,4.154431e-03,4.874965e-04,1.19550,-0.08735,0.51489,10,3.97939
3.2000,5.76936,4.32104,0.51033,5.76493,4.32537,0.48640,5.75490,4.34347,0.49941,5.817301e-03,4.194711e-03,4.875117e-04,1.20350,-0.20759,0.57254,9,4.17707
3.2500,5.81909,4.34888,0.51056,5.81541,4.35206,0.49039,5.80323,4.37416,0.50706,5.868024e-03,4.232480e-03,4.875255e-04,1.14200,0.07979,0.57842,12,4.15439
3.3000,5.86882,4.37674,0.51079,5.86735,4.37979,0.46700,5.85491,4.40236,0.48324,5.918991e-03,4.271832e-03,4.875379e-04,1.17750,-0.46790,0.47497,5,4.10190
3.3500,5.91855,4.40460,0.51099,5.91715,4.40490,0.45850,5.90299,4.43072,0.47740,5.969796e-03,4.308219e-03,4.875492e-04,1.11550,-0.16987,0.52917,9,4.30252
3.4000,5.96827,4.43248,0.51118,5.96741,4.42971,0.47706,5.95321,4.45565,0.49506,6.020793e-03,4.344702e-03,4.875593e-04,1.12100,0.37103,0.47765,9,4.35469
3.4500,6.01798,4.46036,0.51135,6.02178,4.45781,0.48431,6.00623,4.48628,0.50398,6.072583e-03,4.385708e-03,4.875686e-04,1.22400,0.14508,0.53644,12,4.28704
